2 1 530101 38.50 66 28 3 3 NaN 2 5 4 4 NaN NaN NaN 3 5 45.00 8.40 NaN NaN 2 2 11300 00000 00000 2
1 1 534817 39.2 88 20 NaN NaN 4 1 3 4 2 NaN NaN NaN 4 2 50 85 2 2 3 2 02208 00000 00000 2 
2 1 530334 38.30 40 24 1 1 3 1 3 3 1 NaN NaN NaN 1 1 33.00 6.70 NaN NaN 1 2 00000 00000 00000 1 
1 9 5290409 39.10 164 84 4 1 6 2 2 4 4 1 2 5.00 3 NaN 48.00 7.20 3 5.30 2 1 02208 00000 00000 1 
2 1 530255 37.30 104 35 NaN NaN 6 2 NaN NaN NaN NaN NaN NaN NaN NaN 74.00 7.40 NaN NaN 2 2 04300 00000 00000 2 
2 1 528355 NaN NaN NaN 2 1 3 1 2 3 2 2 1 NaN 3 3 NaN NaN NaN NaN 1 2 00000 00000 00000 2 
1 1 526802 37.90 48 16 1 1 1 1 3 3 3 1 1 NaN 3 5 37.00 7.00 NaN NaN 1 1 03124 00000 00000 2 
1 1 529607 NaN 60 NaN 3 NaN NaN 1 NaN 4 2 2 1 NaN 3 4 44.00 8.30 NaN NaN 2 1 02208 00000 00000 2 
2 1 530051 NaN 80 36 3 4 3 1 4 4 4 2 1 NaN 3 5 38.00 6.20 NaN NaN 3 1 03205 00000 00000 2 
2 9 5299629 38.30 90 NaN 1 NaN 1 1 5 3 1 2 1 NaN 3 NaN 40.00 6.20 1 2.20 1 2 00000 00000 00000 1 
1 1 528548 38.10 66 12 3 3 5 1 3 3 1 2 1 3.00 2 5 44.00 6.00 2 3.60 1 1 02124 00000 00000 1 
2 1 527927 39.10 72 52 2 NaN 2 1 2 1 2 1 1 NaN 4 4 50.00 7.80 NaN NaN 1 1 02111 00000 00000 2 
1 1 528031 37.20 42 12 2 1 1 1 3 3 3 3 1 NaN 4 5 NaN 7.00 NaN NaN 1 2 04124 00000 00000 2 
2 9 5291329 38.00 92 28 1 1 2 1 1 3 2 3 NaN 7.20 1 1 37.00 6.10 1 NaN 2 2 00000 00000 00000 1 
1 1 534917 38.2 76 28 3 1 1 1 3 4 1 2 2 NaN 4 4 46 81 1 2 1 1 02112 00000 00000 2 
1 1 530233 37.60 96 48 3 1 4 1 5 3 3 2 3 4.50 4 NaN 45.00 6.80 NaN NaN 2 1 03207 00000 00000 2 
1 9 5301219 NaN 128 36 3 3 4 2 4 4 3 3 NaN NaN 4 5 53.00 7.80 3 4.70 2 2 01400 00000 00000 1 
2 1 526639 37.50 48 24 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1 2 00000 00000 00000 2 
1 1 5290481 37.60 64 21 1 1 2 1 2 3 1 1 1 NaN 2 5 40.00 7.00 1 NaN 1 1 04205 00000 00000 1 
2 1 532110 39.4 110 35 4 3 6 NaN NaN 3 3 NaN NaN NaN NaN NaN 55 8.7 NaN NaN 1 2 00000 00000 00000 2 
1 1 530157 39.90 72 60 1 1 5 2 5 4 4 3 1 NaN 4 4 46.00 6.10 2 NaN 1 1 02111 00000 00000 2 
2 1 529340 38.40 48 16 1 NaN 1 1 1 3 1 2 3 5.50 4 3 49.00 6.80 NaN NaN 1 2 00000 00000 00000 2 
1 1 521681 38.60 42 34 2 1 4 NaN 2 3 1 NaN NaN NaN 1 NaN 48.00 7.20 NaN NaN 1 1 03111 00000 00000 2 
1 9 534998 38.3 130 60 NaN 3 NaN 1 2 4 NaN NaN NaN NaN NaN NaN 50 70 NaN NaN 1 1 03111 00000 00000 2 
1 1 533692 38.1 60 12 3 3 3 1 NaN 4 3 3 2 2 NaN NaN 51 65 NaN NaN 1 1 03111 00000 00000 2 
2 1 529518 37.80 60 42 NaN NaN NaN 1 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1 2 00000 00000 00000 2 
1 1 530526 38.30 72 30 4 3 3 2 3 3 3 2 1 NaN 3 5 43.00 7.00 2 3.90 1 1 03111 00000 00000 1 
1 1 528653 37.80 48 12 3 1 1 1 NaN 3 2 1 1 NaN 1 3 37.00 5.50 2 1.30 1 2 04122 00000 00000 1 
1 1 5279442 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 2 2 04300 00000 00000 2 
